district,% behind ela 2015-16,% behind ela 2016-17,% behind math 2015-16,% behind math 2016-17,% goal ela 2015-16,% goal ela 2016-17,% goal math 2015-16,% goal math 2016-17,avg score ela 2015-16,avg score ela 2016-17,avg score math 2015-16,avg score math 2016-17,num tested ela 2015-16,num tested ela 2016-17,num tested math 2015-16,num tested math 2016-17,math score diff,ela score diff,math % goal diff,ela % goal diff
Regional School District 18,5.9,*,12.6,5.3,83.2,87.6,59.7,69.9,567,596,543,569,119,113,119,113,26.0,29.0,10.2,4.4
Regional School District 19,6.0,10.7,9.7,8.4,81.3,79.2,53.7,61.7,560,562,545,561,268,298,268,298,16.0,2.0,8.0,-2.1
Ridgefield School District,*,1.5,2.2,3.3,92.1,93.0,80.4,77.9,608,613,604,600,418,400,418,400,-4.0,5.0,-2.5,0.9
Rocky Hill School District,6.4,9.6,11.7,13.0,75.4,80.2,53.8,58.8,540,559,532,541,171,177,171,177,9.0,19.0,5.0,4.8
Salem School District,*,,*,,*,,*,,*,,*,,*,,*,,,,,
Seymour School District,17.9,11.4,19.9,10.7,60.3,73.8,36.4,53.0,502,539,496,522,151,149,151,149,26.0,37.0,16.6,13.5
Shelton School District,9.4,6.2,14.0,10.3,74.7,77.3,53.9,52.0,540,543,524,535,371,322,371,322,11.0,3.0,-1.9,2.6
Sherman School District,*,,*,,*,,*,,*,,*,,*,,*,,,,,
Simsbury School District,5.0,3.3,6.1,3.3,87.5,93.0,72.6,77.2,588,614,588,597,361,329,361,329,9.0,26.0,4.6,5.5
Somers School District,7.8,11.1,11.7,13.8,79.6,79.5,51.5,49.1,545,552,537,536,103,117,103,117,-1.0,7.0,-2.4,-0.1
South Windsor School District,5.2,7.3,9.8,7.3,82.5,81.1,59.8,58.8,557,567,550,557,326,328,326,328,7.0,10.0,-1.0,-1.4
Southington School District,8.3,10.1,8.7,9.7,75.7,79.1,51.1,60.1,541,552,536,544,470,527,470,527,8.0,11.0,9.0,3.4
Stafford School District,10.9,9.5,12.9,*,75.2,71.4,47.5,*,538,542,526,523,101,84,101,84,-3.0,4.0,,-3.8
Stamford Academy District,68.0,*,76.0,*,*,0.0,0.0,0.0,384,366,370,360,25,25,25,25,-10.0,-18.0,0.0,
Stamford School District,23.1,23.8,29.9,27.3,55.2,55.6,32.3,33.1,496,503,484,488,1098,1032,1098,1032,4.0,7.0,0.8,0.4
Stonington School District,12.5,5.2,13.1,10.5,76.8,82.0,46.4,56.4,540,565,529,544,168,172,168,172,15.0,25.0,10.0,5.2
Stratford School District,19.2,19.6,29.1,26.1,61.2,54.7,28.0,28.8,502,494,475,477,464,516,464,516,2.0,-8.0,0.8,-6.5
Suffield School District,7.2,6.7,10.0,7.2,82.2,79.4,54.4,56.2,556,557,534,549,180,194,180,194,15.0,1.0,1.8,-2.8
The Bridge Academy District,35.0,34.2,*,*,30.0,28.9,*,*,438,443,431,446,40,38,40,38,15.0,5.0,,-1.1
The Gilbert School District,21.6,22.9,27.7,19.3,61.8,50.6,36.6,43.4,499,489,499,511,102,83,102,83,12.0,-10.0,6.8,-11.2
Thomaston School District,*,16.9,*,*,*,71.2,*,*,502,537,478,538,62,59,62,59,60.0,35.0,,
Thompson School District,*,25.4,34.1,33.3,*,*,27.3,27.0,506,487,471,465,44,63,44,63,-6.0,-19.0,-0.3,
Tolland School District,4.0,6.3,6.0,8.7,86.1,86.0,68.7,67.1,570,568,569,564,201,207,201,207,-5.0,-2.0,-1.6,-0.1
Torrington School District,20.3,22.8,28.9,28.3,56.3,54.9,24.9,23.8,490,489,466,467,197,224,197,224,1.0,-1.0,-1.1,-1.4
Trumbull School District,5.5,5.0,8.1,6.8,82.4,85.8,58.4,64.3,557,578,557,569,495,557,495,557,12.0,21.0,5.9,3.4
Unified School District #1,*,*,*,*,*,*,*,*,*,*,*,*,0,0,0,0,,,,
Unified School District #2,*,47.8,*,68.2,*,*,*,*,*,431,*,410,8,23,8,23,,,,
Vernon School District,15.6,24.0,21.4,27.2,64.6,53.1,38.0,32.8,517,495,493,477,192,196,192,196,-16.0,-22.0,-5.2,-11.5
Wallingford School District,12.4,11.4,17.8,15.0,73.0,72.3,33.3,40.3,523,527,492,505,460,447,460,447,13.0,4.0,7.0,-0.7
Waterbury School District,39.7,44.2,52.8,50.3,33.6,32.2,9.3,10.5,448,445,418,421,1056,1126,1056,1126,3.0,-3.0,1.2,-1.4
Waterford School District,7.4,7.5,15.8,14.0,75.9,75.0,41.9,42.5,533,543,513,510,203,200,203,200,-3.0,10.0,0.6,-0.9
Watertown School District,14.6,9.0,20.1,14.6,68.8,68.3,28.1,35.4,516,524,485,495,199,199,199,199,10.0,8.0,7.3,-0.5
West Hartford School District,10.8,8.0,14.4,11.4,76.6,81.3,56.2,60.8,559,573,545,557,752,723,752,723,12.0,14.0,4.6,4.7
West Haven School District,27.6,28.3,34.2,34.8,46.1,47.4,16.8,15.8,472,477,453,448,304,325,304,325,-5.0,5.0,-1.0,1.3
Westbrook School District,12.0,9.1,*,10.2,68.0,78.4,*,45.5,516,544,489,514,75,88,75,88,25.0,28.0,,10.4
Weston School District,9.6,*,12.7,*,84.3,92.5,71.1,82.0,585,626,582,613,198,200,198,200,31.0,41.0,10.9,8.2
Westport School District,5.3,4.1,7.4,3.9,90.8,92.4,75.5,78.3,598,616,599,609,433,459,433,459,10.0,18.0,2.8,1.6
Wethersfield School District,13.5,8.6,16.3,16.1,70.6,72.4,47.2,43.8,521,540,518,520,252,304,252,304,2.0,19.0,-3.4,1.8
Wilton School District,3.0,1.9,3.7,3.1,93.0,95.4,76.1,77.3,604,620,596,607,328,323,328,323,11.0,16.0,1.2,2.4
Winchester School District,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,
Windham School District,46.6,40.7,62.1,39.8,25.2,38.2,10.7,11.4,432,453,409,433,103,123,103,123,24.0,21.0,0.7,13.0
Windsor Locks School District,*,17.0,*,*,*,56.6,*,*,491,491,474,484,89,106,89,106,10.0,0.0,,
Windsor School District,17.6,13.2,25.2,18.1,55.7,62.2,28.2,35.2,502,511,482,493,262,288,262,288,11.0,9.0,7.0,6.5
Wolcott School District,9.5,6.7,16.8,11.2,75.3,77.1,44.7,48.6,534,545,515,521,190,179,190,179,6.0,11.0,3.9,1.8
Woodstock Academy District,8.1,9.5,13.2,12.3,76.7,81.1,50.8,54.3,540,555,538,535,258,243,258,243,-3.0,15.0,3.5,4.4
Woodstock School District,*,,*,,*,,*,,*,,*,,*,,*,,,,,
EdAdvance,,*,,*,,*,,*,,*,,*,,*,,*,,,,
Voluntown School District,,*,,*,,*,,*,,*,,*,,*,,*,,,,
