"CT School Day SAT, 2016-17"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Stratford School District","=""1380011""","Math","Y",244,236,96.7,234,95,40.6,101,43.2,32,13.7,6,2.6,38,16.2,441
"Stratford School District","=""1380011""","Math","N",281,280,99.6,280,39,13.9,131,46.8,88,31.4,22,7.9,110,39.3,507
"Suffield School District","=""1390011""","ELA","Y",40,38,95.0,38,"*","*","*","*",18,47.4,0,0.0,18,47.4,463
"Suffield School District","=""1390011""","ELA","N",156,156,100.0,156,"*","*","*","*",81,51.9,55,35.3,136,87.2,580
"Suffield School District","=""1390011""","Math","Y",40,38,95.0,38,"*","*",24,63.2,"*","*","*","*","*","*",451
"Suffield School District","=""1390011""","Math","N",156,156,100.0,156,"*","*",47,30.1,"*","*","*","*","*","*",572
"The Bridge Academy District","=""2690013""","ELA","Y","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"The Bridge Academy District","=""2690013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"The Bridge Academy District","=""2690013""","Math","Y","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"The Bridge Academy District","=""2690013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"The Gilbert School District","=""9020022""","ELA","Y",36,33,91.7,33,11,33.3,10,30.3,"*","*","*","*",12,36.4,466
"The Gilbert School District","=""9020022""","ELA","N",50,50,100.0,50,"*","*",12,24.0,27,54.0,"*","*","*","*",504
"The Gilbert School District","=""9020022""","Math","Y",36,33,91.7,33,"*","*",16,48.5,"*","*",0,0.0,"*","*",429
"The Gilbert School District","=""9020022""","Math","N",50,50,100.0,50,"*","*",15,30.0,"*","*",11,22.0,"*","*",565
"Thomaston School District","=""1400011""","ELA","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Thomaston School District","=""1400011""","ELA","N",41,41,100.0,41,"*","*","*","*","*","*","*","*","*","*",547
"Thomaston School District","=""1400011""","Math","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Thomaston School District","=""1400011""","Math","N",41,41,100.0,41,"*","*","*","*","*","*","*","*","*","*",547
"Thompson School District","=""1410011""","ELA","Y",32,27,84.4,27,"*","*","*","*",11,40.7,0,0.0,11,40.7,459
"Thompson School District","=""1410011""","ELA","N",36,36,100.0,36,"*","*","*","*",19,52.8,"*","*","*","*",508
"Thompson School District","=""1410011""","Math","Y",32,27,84.4,27,14,51.9,7,25.9,6,22.2,0,0.0,6,22.2,434
"Thompson School District","=""1410011""","Math","N",36,36,100.0,36,"*","*",18,50.0,9,25.0,"*","*","*","*",489
"Tolland School District","=""1420011""","ELA","Y",28,27,96.4,27,"*","*",6,22.2,9,33.3,"*","*","*","*",453
"Tolland School District","=""1420011""","ELA","N",180,180,100.0,180,"*","*",10,5.6,109,60.6,"*","*","*","*",585
"Tolland School District","=""1420011""","Math","Y",28,27,96.4,27,11,40.7,9,33.3,"*","*","*","*",7,25.9,454
"Tolland School District","=""1420011""","Math","N",180,180,100.0,180,"*","*",41,22.8,88,48.9,"*","*","*","*",580
"Torrington School District","=""1430011""","ELA","Y",133,112,84.2,112,42,37.5,"*","*",36,32.1,"*","*","*","*",442
"Torrington School District","=""1430011""","ELA","N",113,112,99.1,112,"*","*",18,16.1,71,63.4,"*","*","*","*",536
"Torrington School District","=""1430011""","Math","Y",133,112,84.2,111,45,40.5,56,50.5,"*","*","*","*",10,9.0,429
"Torrington School District","=""1430011""","Math","N",113,112,99.1,112,"*","*",51,45.5,36,32.1,"*","*","*","*",505
"Trumbull School District","=""1440011""","ELA","Y",116,115,99.1,115,"*","*",24,20.9,56,48.7,"*","*","*","*",503
"Trumbull School District","=""1440011""","ELA","N",445,442,99.3,442,"*","*","*","*",245,55.4,165,37.3,410,92.8,597
"Trumbull School District","=""1440011""","Math","Y",116,115,99.1,115,28,24.3,46,40.0,33,28.7,8,7.0,41,35.7,490
"Trumbull School District","=""1440011""","Math","N",445,442,99.3,442,10,2.3,115,26.0,182,41.2,135,30.5,317,71.7,589
"Unified School District #1","=""3360015""","ELA","Y",68,0,0.0,0,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","=""3360015""","Math","Y",68,0,0.0,0,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","ELA","Y",29,23,79.3,23,11,47.8,"*","*","*","*",0,0.0,"*","*",431
"Unified School District #2","=""3470015""","Math","Y",29,23,79.3,22,15,68.2,"*","*","*","*",0,0.0,"*","*",410
"Vernon School District","=""1460011""","ELA","Y",92,85,92.4,85,39,45.9,"*","*",21,24.7,"*","*","*","*",447
"Vernon School District","=""1460011""","ELA","N",112,111,99.1,111,"*","*",25,22.5,58,52.3,"*","*","*","*",532
"Vernon School District","=""1460011""","Math","Y",92,85,92.4,84,40,47.6,31,36.9,"*","*","*","*",13,15.5,429
"Vernon School District","=""1460011""","Math","N",112,111,99.1,111,"*","*",47,42.3,44,39.6,"*","*","*","*",513
"Voluntown School District","=""1470011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Voluntown School District","=""1470011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","ELA","Y",105,98,93.3,98,"*","*",31,31.6,33,33.7,"*","*","*","*",462
"Wallingford School District","=""1480011""","ELA","N",349,349,100.0,349,"*","*",42,12.0,226,64.8,"*","*","*","*",545
"Wallingford School District","=""1480011""","Math","Y",105,98,93.3,98,41,41.8,39,39.8,"*","*","*","*",18,18.4,443
"Wallingford School District","=""1480011""","Math","N",349,349,100.0,349,"*","*",161,46.1,137,39.3,"*","*","*","*",523
"Waterbury School District","=""1510011""","ELA","Y",902,842,93.3,842,410,48.7,196,23.3,218,25.9,18,2.1,236,28.0,436
"Waterbury School District","=""1510011""","ELA","N",294,284,96.6,284,88,31.0,69,24.3,113,39.8,14,4.9,127,44.7,473
"Waterbury School District","=""1510011""","Math","Y",902,842,93.3,833,459,55.1,301,36.1,"*","*","*","*",73,8.8,413
"Waterbury School District","=""1510011""","Math","N",294,284,96.6,284,103,36.3,137,48.2,"*","*","*","*",44,15.5,442
"Waterford School District","=""1520011""","ELA","Y",46,44,95.7,44,"*","*",12,27.3,18,40.9,"*","*","*","*",469
"Waterford School District","=""1520011""","ELA","N",156,156,100.0,156,"*","*",23,14.7,94,60.3,"*","*","*","*",564
"Waterford School District","=""1520011""","Math","Y",46,44,95.7,44,17,38.6,20,45.5,7,15.9,0,0.0,7,15.9,440
"Waterford School District","=""1520011""","Math","N",156,156,100.0,156,11,7.1,67,42.9,61,39.1,17,10.9,78,50.0,530
"Watertown School District","=""1530011""","ELA","Y",55,50,90.9,50,"*","*",15,30.0,18,36.0,"*","*","*","*",468
"Watertown School District","=""1530011""","ELA","N",151,149,98.7,149,"*","*",30,20.1,92,61.7,"*","*","*","*",542
"Watertown School District","=""1530011""","Math","Y",55,50,90.9,49,15,30.6,26,53.1,8,16.3,0,0.0,8,16.3,449
"Watertown School District","=""1530011""","Math","N",151,149,98.7,149,14,9.4,73,49.0,53,35.6,9,6.0,62,41.6,511
"West Hartford School District","=""1550011""","ELA","Y",218,206,94.5,206,47,22.8,48,23.3,92,44.7,19,9.2,111,53.9,488
"West Hartford School District","=""1550011""","ELA","N",518,517,99.8,517,11,2.1,29,5.6,254,49.1,223,43.1,477,92.3,606
"West Hartford School District","=""1550011""","Math","Y",218,206,94.5,205,69,33.7,82,40.0,42,20.5,12,5.9,54,26.3,467
"West Hartford School District","=""1550011""","Math","N",518,517,99.8,517,13,2.5,119,23.0,228,44.1,157,30.4,385,74.5,593
"West Haven School District","=""1560011""","ELA","Y",224,205,91.5,205,81,39.5,"*","*",65,31.7,"*","*","*","*",449
"West Haven School District","=""1560011""","ELA","N",122,120,98.4,120,"*","*",25,20.8,73,60.8,"*","*","*","*",523
"West Haven School District","=""1560011""","Math","Y",224,205,91.5,202,89,44.1,99,49.0,14,6.9,0,0.0,14,6.9,425
"West Haven School District","=""1560011""","Math","N",122,120,98.4,120,"*","*",60,50.0,33,27.5,"*","*","*","*",486
"Westbrook School District","=""1540011""","ELA","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Westbrook School District","=""1540011""","ELA","N",70,70,100.0,70,"*","*","*","*","*","*","*","*","*","*",556
"Westbrook School District","=""1540011""","Math","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*"
"Westbrook School District","=""1540011""","Math","N",70,70,100.0,70,"*","*","*","*","*","*","*","*","*","*",524
"Weston School District","=""1570011""","ELA","Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","=""1570011""","ELA","N",188,185,98.4,185,"*","*","*","*","*","*","*","*","*","*",635
"Weston School District","=""1570011""","Math","Y",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","=""1570011""","Math","N",188,185,98.4,185,"*","*","*","*","*","*","*","*","*","*",622
"Westport School District","=""1580011""","ELA","Y",67,65,97.0,65,12,18.5,7,10.8,36,55.4,10,15.4,46,70.8,524
"Westport School District","=""1580011""","ELA","N",397,394,99.2,394,7,1.8,9,2.3,153,38.8,225,57.1,378,95.9,631
"Westport School District","=""1580011""","Math","Y",67,65,97.0,65,12,18.5,29,44.6,18,27.7,6,9.2,24,36.9,504
"Westport School District","=""1580011""","Math","N",397,394,99.2,392,6,1.5,52,13.3,148,37.8,186,47.4,334,85.2,626
"Wethersfield School District","=""1590011""","ELA","Y",78,75,96.2,75,"*","*",20,26.7,31,41.3,"*","*","*","*",471
"Wethersfield School District","=""1590011""","ELA","N",231,229,99.1,229,"*","*",38,16.6,127,55.5,"*","*","*","*",562
"Wethersfield School District","=""1590011""","Math","Y",78,75,96.2,75,28,37.3,34,45.3,"*","*","*","*",13,17.3,448
"Wethersfield School District","=""1590011""","Math","N",231,229,99.1,229,"*","*",88,38.4,83,36.2,"*","*","*","*",544
"Wilton School District","=""1610011""","ELA","Y",56,52,92.9,52,"*","*","*","*",27,51.9,13,25.0,40,76.9,551
"Wilton School District","=""1610011""","ELA","N",275,271,98.5,271,"*","*","*","*",113,41.7,155,57.2,268,98.9,633
"Wilton School District","=""1610011""","Math","Y",56,52,92.9,52,"*","*",19,36.5,16,30.8,"*","*","*","*",534
"Wilton School District","=""1610011""","Math","N",275,271,98.5,270,"*","*","*","*",111,41.1,112,41.5,223,82.6,621
"Winchester School District","=""1620011""","ELA","Y",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Winchester School District","=""1620011""","Math","Y",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windham School District","=""1630011""","ELA","Y",107,103,96.3,103,"*","*","*","*",31,30.1,"*","*","*","*",439
"Windham School District","=""1630011""","ELA","N",20,20,100.0,20,"*","*","*","*",9,45.0,"*","*","*","*",524
"Windham School District","=""1630011""","Math","Y",107,103,96.3,103,"*","*",49,47.6,"*","*",0,0.0,"*","*",423
"Windham School District","=""1630011""","Math","N",20,20,100.0,20,"*","*",11,55.0,"*","*","*","*","*","*",487
"Windsor Locks School District","=""1650011""","ELA","Y",43,41,95.3,41,12,29.3,"*","*",20,48.8,"*","*","*","*",469
"Windsor Locks School District","=""1650011""","ELA","N",65,65,100.0,65,"*","*",20,30.8,34,52.3,"*","*","*","*",506
"Windsor Locks School District","=""1650011""","Math","Y",43,41,95.3,40,14,35.0,19,47.5,7,17.5,0,0.0,7,17.5,448
"Windsor Locks School District","=""1650011""","Math","N",65,65,100.0,65,"*","*",34,52.3,20,30.8,"*","*","*","*",506
"Windsor School District","=""1640011""","ELA","Y",130,118,90.8,118,32,27.1,36,30.5,43,36.4,7,5.9,50,42.4,467
"Windsor School District","=""1640011""","ELA","N",172,170,98.8,170,6,3.5,35,20.6,101,59.4,28,16.5,129,75.9,542
"Windsor School District","=""1640011""","Math","Y",130,118,90.8,117,40,34.2,54,46.2,"*","*","*","*",23,19.7,451
"Windsor School District","=""1640011""","Math","N",172,170,98.8,170,"*","*",80,47.1,62,36.5,"*","*","*","*",523
"Wolcott School District","=""1660011""","ELA","Y",47,45,95.7,45,"*","*",15,33.3,19,42.2,"*","*","*","*",490
"Wolcott School District","=""1660011""","ELA","N",134,134,100.0,134,"*","*",14,10.4,88,65.7,"*","*","*","*",564
"Wolcott School District","=""1660011""","Math","Y",47,45,95.7,45,12,26.7,25,55.6,"*","*","*","*",8,17.8,462
"Wolcott School District","=""1660011""","Math","N",134,134,100.0,134,"*","*",47,35.1,66,49.3,"*","*","*","*",541
"Woodstock Academy District","=""9030022""","ELA","Y",21,21,100.0,21,11,52.4,"*","*",7,33.3,"*","*","*","*",447
"Woodstock Academy District","=""9030022""","ELA","N",225,222,98.7,222,12,5.4,"*","*",129,58.1,"*","*","*","*",565
"Woodstock Academy District","=""9030022""","Math","Y",21,21,100.0,21,12,57.1,"*","*","*","*",0,0.0,"*","*",416
"Woodstock Academy District","=""9030022""","Math","N",225,222,98.7,222,18,8.1,"*","*","*","*",40,18.0,"*","*",546

