"CT School Day SAT, 2015-16"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Enfield School District","=""0490011""","ELA","Y",142,128,90.1,128,39,30.5,46,35.9,36,28.1,7,5.5,43,33.6,459
"Enfield School District","=""0490011""","ELA","N",221,218,98.6,218,16,7.3,39,17.9,143,65.6,20,9.2,163,74.8,524
"Enfield School District","=""0490011""","Math","Y",142,128,90.1,128,43,33.6,60,46.9,"*","*","*","*",25,19.5,451
"Enfield School District","=""0490011""","Math","N",221,218,98.6,218,"*","*",96,44.0,75,34.4,"*","*","*","*",509
"Explorations District","=""2720013""","ELA","Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","ELA","N",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","N",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","ELA","Y",149,138,92.6,138,38,27.5,32,23.2,53,38.4,15,10.9,68,49.3,489
"Fairfield School District","=""0510011""","ELA","N",587,575,98.0,575,12,2.1,28,4.9,332,57.7,203,35.3,535,93.0,591
"Fairfield School District","=""0510011""","Math","Y",149,138,92.6,138,42,30.4,61,44.2,"*","*","*","*",35,25.4,469
"Fairfield School District","=""0510011""","Math","N",587,575,98.0,575,"*","*",145,25.2,295,51.3,"*","*","*","*",578
"Farmington School District","=""0520011""","ELA","Y",66,59,89.4,59,"*","*",14,23.7,26,44.1,"*","*","*","*",483
"Farmington School District","=""0520011""","ELA","N",247,241,97.6,241,"*","*",14,5.8,118,49.0,"*","*","*","*",599
